label,date,duration,bvid,url,title,core_hits,support_hits,background_hits
background,2025-11-10,26:23,BV1haCcBaEjW,https://www.bilibili.com/video/BV1haCcBaEjW/,你那没本事导师是教授，教授作为学术圈的大拿，你还不懂学术圈？20251107，,,,学术
out,2025-11-07,35:27,BV1Dv2gBwESJ,https://www.bilibili.com/video/BV1Dv2gBwESJ/,你读研委婉有用，哈巴狗一样有用，你就不至于这下场，20251103，,,,
out,2025-11-06,19:13,BV1Z22wBQEmL,https://www.bilibili.com/video/BV1Z22wBQEmL/,AI字幕都分不清“读博”和“赌博”，你都敢读博？不要赌博，不要读博,,,
out,2025-11-04,04:12,BV1Ka1EBVE5F,https://www.bilibili.com/video/BV1Ka1EBVE5F/,加油！！！考研，考公考编，在读研的同学们,,,
out,2025-11-03,16:02,BV1YT1vBeEw4,https://www.bilibili.com/video/BV1YT1vBeEw4/,想读博的话很简单，让导师疯狂压榨你就行了，20251031，,,,
out,2025-11-03,12:02,BV16K1aBBEQ6,https://www.bilibili.com/video/BV16K1aBBEQ6/,拼命努力的代价是健康，但能换来你想要的吗？又真值得吗？？？,,,
out,2025-10-31,36:11,BV1xh1TB5EGs,https://www.bilibili.com/video/BV1xh1TB5EGs/,有没有一种可能，你导师也是啥也不懂？20251027，,,,
out,2025-10-29,04:34,BV1BmyWBCExP,https://www.bilibili.com/video/BV1BmyWBCExP/,当前的就业环境，我也不知道该说啥,,,
background,2025-10-28,28:02,BV1BsyCBwEsT,https://www.bilibili.com/video/BV1BsyCBwEsT/,不要用你的学术道德，衡量学术圈的学术道德，20251024(2),,,学术
out,2025-10-27,10:24,BV1zdsmz2E86,https://www.bilibili.com/video/BV1zdsmz2E86/,延毕只有老实人，说的就是这类人，20251024(1)，,,,
out,2025-10-24,18:59,BV16AsnzMEtV,https://www.bilibili.com/video/BV16AsnzMEtV/,摇摆不定的时候，就选择考公考编，不读博不进厂，20251020，,,,
out,2025-10-21,16:04,BV15PW9zXEoe,https://www.bilibili.com/video/BV15PW9zXEoe/,分享下我211进大厂的经验吧，211毕业当主播有点浪费了,,,
out,2025-10-20,33:42,BV1QiW1zZEyN,https://www.bilibili.com/video/BV1QiW1zZEyN/,研究生们，有些事做就做了，没什么好怕的，20251017,,,
out,2025-10-17,28:01,BV1XyW7zUED2,https://www.bilibili.com/video/BV1XyW7zUED2/,研究生要听劝，能不造航母，就不要造航母，20251013，,,,
out,2025-10-17,01:18,BV1ToW7zrEj1,https://www.bilibili.com/video/BV1ToW7zrEj1/,又是空军的一天，来个沉浸式打窝吧,,,
core,2025-10-16,04:53,BV1evWizBEvd,https://www.bilibili.com/video/BV1evWizBEvd/,水论文保毕业不是学术裁缝上限，顶刊顶会包也适用的,学术裁缝,水论文;顶刊;顶会,论文;学术
out,2025-10-13,30:33,BV1zM42zmEWg,https://www.bilibili.com/video/BV1zM42zmEWg/,严谨做实验的话，很多研究生都毕不了业，20251010，,,,
out,2025-10-11,21:59,BV1Ua4xz6EBS,https://www.bilibili.com/video/BV1Ua4xz6EBS/,当下的研究生，就业选择三心二意，必将竹篮打水一场空，20251003,,,
support,2025-10-09,05:47,BV1jvxEzaECD,https://www.bilibili.com/video/BV1jvxEzaECD/,手把手带你给论文，选择合适的期刊，再带你走通投稿流程,,期刊;投稿,论文
out,2025-10-03,21:51,BV17gHVzzE5W,https://www.bilibili.com/video/BV17gHVzzE5W/,研究生第一课，对导师祛魅，对研究生祛魅，20250929，,,,
out,2025-09-29,36:40,BV1fmnzzLEHE,https://www.bilibili.com/video/BV1fmnzzLEHE/,焦虑不可避免，逃避也不是不行，但苦熬才是硬道理，20250926，,,,
background,2025-09-26,45:37,BV1b5ngzjEbN,https://www.bilibili.com/video/BV1b5ngzjEbN/,学术圈怪象，看起来不可取，似乎确实不影响录用，20250922，,,,学术
background,2025-09-25,03:16,BV1wxnhzbEiz,https://www.bilibili.com/video/BV1wxnhzbEiz/,一区论文中地图错误，“四川”来南方“重庆（Chon gqqig）”跑东北，惊现低级错误,,,论文
out,2025-09-24,17:31,BV1JCJ9zHEd5,https://www.bilibili.com/video/BV1JCJ9zHEd5/,参考文献不是多就行了，每一条都是有其意义的，018,,,
background,2025-09-22,32:24,BV1zjnFzPEMm,https://www.bilibili.com/video/BV1zjnFzPEMm/,双非研究生，要那么高的学术道德干嘛，武大杨某媛学位还在呢，20250915，,,,学术
background,2025-09-20,24:02,BV1iLp9zHEEy,https://www.bilibili.com/video/BV1iLp9zHEEy/,百错仍硕！！！学术圈很多审稿专家，真需要回炉重造了，最后一探武大杨某媛论文，武大通报图书馆事件调查复核情况,,,论文;学术
out,2025-09-18,04:04,BV1T6pvzpEEx,https://www.bilibili.com/video/BV1T6pvzpEEx/,研究生路过不看，包后悔的一期视频,,,
out,2025-09-15,17:37,BV1vupBzgExk,https://www.bilibili.com/video/BV1vupBzgExk/,人生起起伏伏，胆大心细稳中求胜，20250912,,,
out,2025-09-13,24:44,BV1cHpEzhEHH,https://www.bilibili.com/video/BV1cHpEzhEHH/,人生熬一熬，不要和自己较劲，哪有过不去的坎呀！,,,
out,2025-09-12,24:01,BV1CgHkzwEXX,https://www.bilibili.com/video/BV1CgHkzwEXX/,研究生唯一也只需要认的仅有，《研究生培养计划》，20250908，,,,
support,2025-09-11,14:48,BV1NoHvzmETH,https://www.bilibili.com/video/BV1NoHvzmETH/,论文这么简单，为啥你看不懂，为啥你写不来？论文摘要和总结怎么写，017，,,论文摘要,论文
background,2025-09-11,04:17,BV1JJH9zREW5,https://www.bilibili.com/video/BV1JJH9zREW5/,十一探，知网深夜上架武大杨某媛论文，硕士学位论文是什么东西？我不知道呀，我不懂呀，我母鸡呀！！！,,,论文
background,2025-09-10,10:47,BV114HXzcErP,https://www.bilibili.com/video/BV114HXzcErP/,十探武大杨某媛论文，终于从知网下架了，期待下一个处理结果,,,论文
out,2025-09-09,08:05,BV1BAHCzdEFE,https://www.bilibili.com/video/BV1BAHCzdEFE/,武汉大学调查迟迟未出结果，清华大学博导“不差不水”，不就是最好的答案吗？,,,
out,2025-09-09,00:06,BV1nZHkzFEyc,https://www.bilibili.com/video/BV1nZHkzFEyc/,多拍照片多保存的意义，往回翻一翻看一看，人生还是很美好的，哈哈哈,,,
background,2025-09-08,12:46,BV1u9aZz5EPu,https://www.bilibili.com/video/BV1u9aZz5EPu/,杨某论文挂着，清华大学博导“不差不水”，你还在怕什么？？？20250905，,,,论文
support,2025-09-06,41:44,BV1rAYKznEcK,https://www.bilibili.com/video/BV1rAYKznEcK/,研三的同学们，大论文要开始动笔了，就业更要时刻盯着，20250901，,,大论文,论文
out,2025-09-05,15:33,BV1Mqa4zREJt,https://www.bilibili.com/video/BV1Mqa4zREJt/,九探武大：我双手插兜，不知什么叫对手。清华大学：我略微出手。,,,
background,2025-09-04,25:48,BV1dKaDzAEMC,https://www.bilibili.com/video/BV1dKaDzAEMC/,八探武大杨某论文，武大开学了，部分视频开始被退回锁定,,,论文
background,2025-09-03,22:36,BV1HeazzLEV2,https://www.bilibili.com/video/BV1HeazzLEV2/,论文能录用就行，而不是你觉得，你做的内容合理才行，引言该如何写，016，,,,论文
out,2025-09-02,37:45,BV1xYaFzkE4P,https://www.bilibili.com/video/BV1xYaFzkE4P/,答案就在你眼前，你告诉我答案错了？？？？20250825和20250829,,,
out,2025-08-28,02:27,BV1HnhmzAE7T,https://www.bilibili.com/video/BV1HnhmzAE7T/,钓鱼精彩瞬间，这漂好大！！！,,,
out,2025-08-25,18:52,BV1C5eRzcEUG,https://www.bilibili.com/video/BV1C5eRzcEUG/,压迫你的人错了，但研究生你，懦弱就是对的吗，20250822,,,
out,2025-08-23,35:23,BV18Ve6zvEBT,https://www.bilibili.com/video/BV18Ve6zvEBT/,研究生你的实验结果，只有你自己在乎，其他人都不关心，20250818，,,,
background,2025-08-18,16:30,BV1sXYxzUENt,https://www.bilibili.com/video/BV1sXYxzUENt/,学术圈必知必会，没上秤4两重，上秤千斤打不住，20250815,,,学术
